likert,effectTime,didnotagree,rawwords,agreed,when,userid,effect,param,quiet,surveyID,sessionid,key,useragent,ind,cleanTime,irb,words,audioFile,listen
1,54.675,"sound-multiplied,none of the above","shrill,sweet,warm,opera","grooving-effect,same,little-change",2016-04-08T18:08:18,3FMnpwXypwmdyjrgoKQN,compression,"-38.3599,39.8740,13.1201,0.0416,0.1669",yes,0xSbeZ8DnI4E4OvUzwXV,9BQyqCYuDXqzbVHgaaKw,4833326548385792,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",147,49.785,true,"shrill,sweet,warm,opera",/static/audio/vocals2.wav,headphones
4,19.018,,"feedback,muffled",,2016-03-11T21:17:37,bszUobquovY1QSqLaWDW,compression,"-76.1170,24.0792,19.8197,0.0053,0.1827",yes,8otNA2X1As6pTAdIReDE,rmMZYVWeqmVdhraUYpWS,4834276138811392,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",225,30.338,true,"feedback,muffled",/static/audio/guitar4.wav,standalone
4,41.354,"warmer,none of the above",beat,slight-echo,2016-03-12T04:07:10,gTaLiPSpzW1qJjCT5EGT,compression,"-32.5455,21.4715,19.5412,0.0488,0.0074",yes,BxTXjvMtc6EGBVpSO213,2VENC208gcBygIG3viBG,4837662183653376,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36",1,32.627,true,beat,/static/audio/vocals2.wav,headphones
1,41.268,"cool,almost-no-difference,none of the above","echo,slight-reverb,spacious",slight-echo-off,2016-04-08T17:58:20,TCKX8AIJsKRDogWV1Vx9,compression,"-36.1970,13.8580,1.6862,0.0437,0.2625",yes,8XnTpX8uoKOGHTnso7V0,B1oIx1M5333F6aSqBrj3,4838322803310592,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",208,28.719,true,"echo,slight-revers,spacious",/static/audio/drums4.wav,headphones
0,38.807,,no-effect,,2016-03-11T20:43:35,85AuGtjfMM4gep6V8rad,compression,"-47.0611,12.9275,2.7283,0.0020,0.8269",yes,vDPa7tZCLbRoSfGVlOv1,gr6AGuZ5PdQfYV6kKoNv,4840241445732352,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",173,64.795,true,no-effect,/static/audio/vocals2.wav,headphones
2,11.86,,"fade,background,muffled",,2016-03-11T21:22:28,7xNSuGVLH6ZPx2mpPgS4,compression,"-96.3171,9.1841,2.4863,0.0480,0.6640",yes,tRQFIdUTs8RTwhKhu40t,kxWbU6gPxMLvONRnGtY7,4843999944769536,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",69,83.244,true,"fade,background,muffled",/static/audio/drums4.wav,headphones
2,47.582,"slight-echo,even,cool,calm,staccato,beat,none of the above","louder,reverb,midtone,wavy,distorted",warmer,2016-04-09T04:28:39,7AcnbydnVlQcVkdOdZBc,compression,"-32.5455,21.4715,19.5412,0.0488,0.0074",yes,rVhC3SkycDeTJObL8w6v,WxUuZdxcOzwdImMom5v6,4851218174181376,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",1,27.773,true,"louder,revers,midtown,wavy,distorted",/static/audio/guitar4.wav,headphones
1,21.161,none of the above,"loud,shrinking",same,2016-03-11T21:42:43,QJDPBqmz3FukC54nsJTk,compression,"-28.4628,35.4144,5.9519,0.0448,0.5487",yes,GhAqg0AdnJpmJuCjJoTv,CFlIcfvcDShpAUIeJEi9,4851447149625344,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",160,27.075,true,"loud,shrinking",/static/audio/vocals2.wav,standalone
2,50.75,"made,the,hollow,somewhat-muted,a,like,and,bit,was,it,muffled,sound,setting,none of the above","louder,spacious,echoing,lively","echo-y,studio",2016-04-08T18:00:36,xi3KQHc9up60JVnhBOcK,compression,"-92.8542,39.5190,2.3031,0.0220,0.3070",yes,jJdYoB0nL31Saw5x1Jf8,fmWwlcjwg2Kf989vK5k2,4852180783726592,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",111,12.21,true,"louder,spacious,echoing,lively",/static/audio/drums4.wav,headphones
2,143.96,"sweet,loud,bright,none of the above","solid,tuneful","strong,melodious,bold",2016-04-09T05:13:47,tj6cbJdMWg7fM4dqAXbA,compression,"-70.5899,24.6130,19.7632,0.0001,0.6646",yes,zExiT5c3eqV06ayuVoEB,LeHNsDyOfUWb3uohiYkX,4855596088033280,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",209,19.977,true,"solid,tuneful",/static/audio/guitar4.wav,headphones
2,39.935,,"soft,muted,quiet,lower,soft-sound",,2016-03-11T20:37:47,k1CzfOKKxx5SSXgq3dzu,compression,"-95.0804,7.6395,17.5390,0.0483,0.8086",yes,BdfcjvEEJUoyXwpFyew7,vZwD7IXUenWHKsqCyTJB,4856816664051712,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",40,53.638,true,"soft,muted,quiet,lower,soft-sound",/static/audio/drums4.wav,headphones
3,27.277,,"underwater,underground",,2016-03-11T21:26:37,7xNSuGVLH6ZPx2mpPgS4,compression,"-76.2787,38.1641,19.6579,0.0314,0.0887",yes,tRQFIdUTs8RTwhKhu40t,kxWbU6gPxMLvONRnGtY7,4861738965008384,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",82,11.634,true,"underwater,underground",/static/audio/drums4.wav,headphones
3,23.708,,"quiet,secretive",,2016-03-11T20:52:19,9R6gt3gUatU9j1dsccPG,compression,"-50.3573,32.0368,15.1304,0.0011,0.9969",yes,ZRlk3Xc5xlPlmoXCUQRC,mPhV8sV5FJXj2akwuAZI,4862378378264576,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",62,10.51,true,"quiet,secretive",/static/audio/drums4.wav,headphones
3,51.564,"cool,muffled,advanced,feedback,none of the above","vibrant,electric,rhythmic","energetic,powerfully",2016-04-08T18:03:16,hM3xQtLjagQKu0ibMGT1,compression,"-76.1170,24.0792,19.8197,0.0053,0.1827",yes,rzfBs0faRol5KxaLFPtE,nVN3nYl7AZDIqgdEbLDy,4863107180527616,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",225,20.622,true,"vibrant,electric,rhythmic",/static/audio/guitar4.wav,headphones
3,4.094,"white-noise,snowy,enveloping,distortion,warm,none of the above","happy,joy,jumping,rising,beating,fun","big,full",2016-04-08T18:16:50,NBr8fkfIZZxHgRczPSTn,compression,"-90.1521,36.6998,7.3351,0.0007,0.9251",yes,djKp0t5vkzlNNpGFkLS8,BvBoeaNHcW46cvVcRwaA,4863223949950976,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",26,42.096,true,"happy,joy,jumping,rising,beating,fun",/static/audio/guitar4.wav,headphones
1,19.13,,louder,,2016-03-11T20:45:43,6zSsISXtKgEsYS7IyInw,compression,"-47.9762,9.2495,18.2620,0.0035,0.1668",yes,l22tglFE2ZslGbOjgP5s,9sXMRCRKTbcIU4PHGWsm,4866574292877312,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",168,21.037,true,louder,/static/audio/vocals2.wav,standalone
1,64.97,"clash,nice,warm,snappy,rhythmic,beat,none of the above","crisp,soulfull,horsey","sharp,graceful",2016-03-12T06:50:12,CopO7e0n9PiplFyWbxZF,compression,"-25.5865,5.3512,11.7523,0.0040,0.1084",yes,vp0Mu99OU2l49Gkiwrlu,rt6862NwpdjExUXb6OX3,4871728253632512,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",46,15.284,true,"crisp,soulful,horsey",/static/audio/vocals2.wav,headphones
1,86.135,"softer,mellow,listening,less,crisper,cool,easy,riff,none of the above","round,sharp,bouny,ticking",little-difference,2016-04-08T18:10:35,HeebDuDcDdlPOBxU8oH6,compression,"-49.4375,21.8561,1.4259,0.0073,0.9726",yes,YxEVlFD4lE8CCk4X8fi5,lUFMexnyeax3TIiqI1Cv,4872221772218368,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",109,57.171,true,"round,sharp,bony,ticking",/static/audio/drums4.wav,headphones
1,9.215,,"stringy,bass,fee-good,happy,toe-tapping,friendly",,2016-03-11T20:47:58,V59ve7qktfqT6wAdKv5S,compression,"-66.9274,32.2025,5.5577,0.0011,0.0734",yes,VW772s7CSnFCqdGv7Wt3,HuzedDIklGiRAk7EuJdv,4872846555742208,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",171,43.943,true,"stringy,bass,fee-good,happy,toe-tapping,friendly",/static/audio/guitar4.wav,standalone
2,18.514,"cool,enhanced,good,none of the above","louder,weird-whistling,crunchier","crisper,sharpened",2016-04-08T21:35:03,ikjJKzgrOHBHFGaXAlXC,compression,"-56.8944,14.4012,14.3008,0.0495,0.0130",yes,QI8nS7SBwkiMTm8eYkwJ,5gdCV9mfBH85odjKlYIG,4873592537874432,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",242,16.57,true,"louder,weird-whistling,crunchier",/static/audio/guitar4.wav,headphones
2,55.293,"clear,reverberation,stadium-like,echo,none of the above","energetic,upbeat,crisp,bass",bass,2016-04-08T18:32:24,YBnAYlmzDj4dqyxWH8Qo,compression,"-35.4156,36.3639,17.8385,0.0301,0.9433",yes,Bw9861OiicSeU1hW5QFk,C2JQ79DhyYmkHdkub8bI,4874813113892864,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",56,20.012,true,"energetic,upbeat,crisp,bass",/static/audio/drums4.wav,headphones
2,19.792,"sharper,pronounced,hollow,cool,rich,warm,none of the above","unnoticeable,subtle,louder","louder,full",2016-04-08T22:48:52,SgyQ8Xe6DmzMyGXwtGlZ,compression,"-51.6305,37.6135,19.1306,0.0051,0.4312",yes,cFfjRdY5vNYzpyXgp6kq,ZFuZA1r1XG4WTJAZCCGu,4877068240158720,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",149,39.218,true,"unnoticeable,subtle,louder",/static/audio/vocals2.wav,standalone
2,30.194,"mufti-dimensional,spacious,funny,distant,joyful,louder,none of the above",energy-direct,"echoing,big-room",2016-04-08T18:08:09,TYZDis9tUWwgOGnJjRZE,compression,"-38.2641,11.6185,2.8013,0.0066,0.1197",yes,m4qSbp9aNdECL100AB0j,Ds0I4zaCoVIan9JH2SaZ,4878042660864000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",143,10.128,true,energy-direct,/static/audio/drums4.wav,headphones
3,40.945,"higher-quality,recording,more-pleasant,none of the above","delayed,echo,too-loud,too-much-sharp-high-notes","echo,more,additional",2016-04-08T18:03:54,xi3KQHc9up60JVnhBOcK,compression,"-45.2721,4.3897,11.3551,0.0013,0.1255",yes,jJdYoB0nL31Saw5x1Jf8,fmWwlcjwg2Kf989vK5k2,4878923666030592,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",181,11.51,true,"delayed,echo,too-loud,too-much-sharp-high-notes",/static/audio/drums4.wav,headphones
1,20.616,,louder,,2016-03-11T21:02:39,3hTtYv1FhNZgwBOcf01h,compression,"-95.0508,30.6769,15.3624,0.0014,0.6494",yes,glg5qUB0688HZa5da2Nm,EZEvOOs1IJu8qSdj7P7N,4880682857791488,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",175,25.939,true,louder,/static/audio/vocals2.wav,headphones
1,12.907,"up,strong,warm-fast,none of the above","rhythmic,soothing",good-vibe,2016-04-08T18:05:12,hM3xQtLjagQKu0ibMGT1,compression,"-65.4987,3.0387,1.0824,0.0442,0.8863",yes,rzfBs0faRol5KxaLFPtE,nVN3nYl7AZDIqgdEbLDy,4881426558222336,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",34,28.735,true,"rhythmic,soothing",/static/audio/vocals2.wav,headphones
1,32.147,,"fuzz,buzzing",,2016-03-11T20:51:20,kaCbmldnUDgPfdcFLukK,compression,"-86.1043,7.2247,5.7300,0.0201,0.6894",yes,vMGmaD6W20w32cn6wcgu,7bv8pa0MdA6uLqazfB7I,4884776095842304,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",0,15.227,true,"fuzz,buzzing",/static/audio/vocals2.wav,standalone
2,33.642,"crisp,spacious,pleasant,mellow,comforting,none of the above","reverb,bathroom,close",echoes,2016-04-08T18:00:23,EhCFovdc6ecIiCyukjMv,compression,"-62.5354,35.9860,18.4950,0.0149,0.0909",yes,KGmmkhr5iwz6VvxGxxYB,LQxS30lAwJjWvBjhd6Ds,4886025126019072,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",223,17.02,true,"revers,bathroom,close",/static/audio/guitar4.wav,standalone
0,0.851,"rolling,steely,vibrating,metallic,wavy,none of the above","great,enjoyable",pipe,2016-04-08T18:06:29,vdYu54w0pf12FCljNeuU,compression,"-88.6847,1.1997,19.3059,0.0431,0.0522",no,f24mCrkckbCTg5Uu5iqZ,j1pJ0HBi3N8rXMlOiTPU,4886402546270208,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",10,42.863,true,"great,enjoyable",/static/audio/drums4.wav,headphones
2,57.69,"building,muffled,volume-drop,snowy,dragging,low,fuzzy,rainy,bass,none of the above","loud,spacious,fulfilling,large,grand","rising,orchestrated,distorted",2016-04-09T00:54:29,UuLPFJjMdzG4Ov6Qa4V9,compression,"-91.8177,28.7828,18.1256,0.0258,0.8978",yes,K57UFtUkbZYziaLdhiNK,tSXcHdk7MPtS1lXD3due,4889942136193024,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",243,15.422,true,"loud,spacious,fulfilling,large,grand",/static/audio/drums4.wav,headphones
1,24.649,none of the above,"""soothing"",""clear""",no-effect,2016-03-12T07:02:04,EXncTbxb7yXEcGEAKDNk,compression,"-61.3360,19.5560,1.3405,0.0095,0.9382",yes,RoAzQE9Po60ki4UEPJ16,GYs2B4XvppZ5m1SUTEvl,4892027074379776,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",241,33.97,true,"soothing,clear",/static/audio/vocals2.wav,laptop/tablet/cellphone
3,31.374,"clear,calm,energies,none of the above","party,warm,light",pure,2016-04-08T18:10:26,NA86yPUdCsI1Ctoa0Bui,compression,"-26.8921,1.3176,17.4288,0.0146,0.9200",yes,znMjG2r5JIqcwB2se2UH,wgUtcIHpLtoYscCSAWwg,4893239597334528,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",7,95.809,true,"party,warm,light",/static/audio/vocals2.wav,standalone
4,24.496,"bit,sound,was,effect,the,just,it,on,turned,when,underwater,a,underground,none of the above",spooky,muffled,2016-03-12T04:41:07,sqJljjx2DRi8F89GPDeL,compression,"-76.2787,38.1641,19.6579,0.0314,0.0887",yes,K7Gcmq2MJfZ498zjofxh,sW82HujGzFxf3M6EOT5f,4893851898609664,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.71 Safari/537.36",82,15.917,true,spooky,/static/audio/guitar4.wav,headphones
1,22.861,"open,stadium,reverberate,beat,none of the above","warm,louder",high,2016-04-08T18:00:06,YgfpfihOBpTklLp5u38N,compression,"-36.5243,2.2537,13.9177,0.0477,0.0128",yes,5l2bPkhocdlrhCaRrLie,ARspAP56veixfxlWmBEC,4895295007621120,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",21,19.426,true,"warm,louder",/static/audio/vocals2.wav,headphones
1,9.71,"nothing-found,same,the,no-effects,quiet,i-couldn-find-any-difference-with-headphone-and-speakers,clean","fast beat,archestra",none of the above,2016-04-08T18:23:38,F9mR6qURUUZtnyZOSrZS,compression,"-25.0392,37.3159,4.6708,0.0272,0.3832",yes,QZxbxfxfII34wV1NxCM2,vUhrFgy2wv2LBod415BU,4898211827286016,"Mozilla/5.0 (Linux; U; Android 4.4.2; en-us; HM NOTE 1LTEW Build/KVT49L) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Mobile Safari/537.36 XiaoMi/MiuiBrowser/2.0.1",213,17.278,true,orchestra,/static/audio/drums4.wav,headphones
1,11.106,,more-punch,,2016-03-11T20:48:35,JFNRtuKWHUWeZI2f7peR,compression,"-30.8632,39.9024,17.5725,0.0298,0.2738",yes,T6bwRu19JLnHH5Jrd0Tb,QV9cHXqXIB0Jg0ADpIpP,4898371277946880,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",89,37.338,true,more-punch,/static/audio/drums4.wav,standalone
3,16.057,,"spacious,broad,wide",,2016-03-11T20:53:36,9R6gt3gUatU9j1dsccPG,compression,"-64.1237,4.9126,19.5096,0.0003,0.7444",yes,ZRlk3Xc5xlPlmoXCUQRC,mPhV8sV5FJXj2akwuAZI,4899700301889536,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",76,11.881,true,"spacious,broad,wide",/static/audio/drums4.wav,headphones
4,36.903,"happy,strong-beat,toe-tapping,up-beat,none of the above","close,personal,intimate",feel-good,2016-03-11T23:40:52,RG7XIl9GhVzMoMaXRUHJ,compression,"-94.2757,1.0060,2.2879,0.0366,0.2855",yes,mEh3FvZIfxj2TXYzuMBv,HZ0pwKXYxMUzgxqB7oYK,4901211593506816,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",85,16.656,true,"close,personal,intimate",/static/audio/vocals2.wav,headphones
0,16.54,,same,,2016-03-11T20:54:25,9R6gt3gUatU9j1dsccPG,compression,"-77.3579,38.9689,3.3502,0.0227,0.9587",yes,ZRlk3Xc5xlPlmoXCUQRC,mPhV8sV5FJXj2akwuAZI,4901440568950784,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",103,22.432,true,same,/static/audio/vocals2.wav,headphones
2,51.54,"happy,lively,none of the above","chorusy,compression","full,pronounced",2016-04-08T18:03:12,HEzsGenoABx4KLcUPiOd,compression,"-42.1715,34.2885,4.0375,0.0431,0.8306",yes,uq1w1ryFLlbT3OkUxyOS,pJz6WgEfiA1bbvcXPioF,4905660105883648,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",183,41.318,true,"chorus,compression",/static/audio/vocals2.wav,headphones
1,45.243,,"slight-echo,warmer",,2016-03-11T20:44:00,7J7XmOCwuU2hzaWZVy9b,compression,"-32.5455,21.4715,19.5412,0.0488,0.0074",yes,E1KyfaHUQXzl0s9Us8Sf,PErAhnmnIT8JCFkcrPDP,4906365554262016,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",1,36.68,true,"slight-echo,warmer",/static/audio/guitar4.wav,headphones
0,6.884,,no-effect,,2016-03-11T20:38:29,Q1znZsqx5RgdZPFiCnZc,compression,"-33.9248,27.2071,18.7383,0.0484,0.3751",yes,aBnISUVcufMuSCZKxsdO,ZWX9mZwFgTqx3csWns3z,4909833203482624,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",128,33.631,true,no-effect,/static/audio/guitar4.wav,headphones
2,27.126,,relaxing,,2016-03-11T20:34:52,EVFJriFa4OjaBobVk0DK,compression,"-34.3999,27.6650,18.2013,0.0427,0.2089",yes,P1kb6EPaQ3De4mr25bj6,KFIG4plpxymf07DHDKue,4912910010679296,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",216,15.226,true,relaxing,/static/audio/guitar4.wav,headphones
1,10.698,,compress,,2016-03-11T21:01:50,F1fA9X71xkpVrh0bFITQ,compression,"-93.4965,25.8521,1.3755,0.0498,0.7937",yes,6aTodWDZUuOYwirpgFTb,H8Nk0jhaGl0JylE2eE0G,4913290249502720,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",31,54.499,true,compress,/static/audio/vocals2.wav,headphones
3,28.339,"same,loud,no-change","echo,soft,muted",none of the above,2016-04-08T18:04:41,vEidfufI30fNab6d8S1y,compression,"-27.8304,1.0343,3.2337,0.0134,0.5340",yes,JDquza9BVRAAScwWRtdH,7fp6k5jxyEcVDHRoldFo,4918105042059264,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",101,37.498,true,"echo,soft,muted",/static/audio/drums4.wav,headphones
3,24.488,"na,none of the above",vivacious,extend,2016-04-08T18:08:53,V9R1E0YopiMn6WAwuuuM,compression,"-25.8927,3.9638,19.5927,0.0087,0.8878",yes,rwxkt3gSDIiEymg0sRUG,fRQW1SCQDDw9fe50hGWy,4918838676160512,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",3,22.112,true,vivacious,/static/audio/vocals2.wav,headphones
0,15.369,,"beat,fun",,2016-03-11T20:57:07,iYFn8cJxb4JkejGXhzua,compression,"-31.4676,5.0906,3.7125,0.0317,0.8135",yes,MsI3kzV9aquSeyFY4Wdm,xt0sjUcBugOTrwOloJFR,4921181312385024,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",189,33.437,true,"beat,fun",/static/audio/drums4.wav,headphones
0,28.316,"full,chorus,compression,regular,pronounced,lively,happy,none of the above",same,same,2016-04-09T06:11:49,x7wS6WiK8hnHvb64WLoq,compression,"-42.1715,34.2885,4.0375,0.0431,0.8306",yes,POciDboJ5yMDM9GMOD8X,uHnyvDGM4IJgjYogFhRx,4922549527904256,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",183,32.516,true,same,/static/audio/vocals2.wav,headphones
0,28.975,"beat,warm,blurred,rock,none of the above",crisp,subtle,2016-04-08T19:36:15,G0d8pSnuTrWkIwrOxf5O,compression,"-33.8616,26.0047,2.2396,0.0463,0.0141",yes,kJn619MXhXuXjrd9Shra,tHGWbriGvvgdbrkUg20f,4925964832210944,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",27,38.697,true,crisp,/static/audio/vocals2.wav,headphones
1,34.556,"bass,background,auto-boost,louder,realistic,quality-decreased,disruptions,auto-squalider,full,rich,solid,none of the above","sharp,crisp,bright","clear,sharpened",2016-04-08T21:21:17,93MaasIR3cNvmuWrTDqv,compression,"-93.2986,29.2234,4.2051,0.0415,0.0465",yes,mjh4cSQ0KgCf9QbBzxq3,9x8SDC58BGszkMVD9dKe,4927291171799040,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",108,38.466,true,"sharp,crisp,bright",/static/audio/vocals2.wav,headphones
0,7.116,none of the above,no-effect,no-effect,2016-03-11T22:58:41,qdYqjo25fM3Hk2PASSWG,compression,"-61.3360,19.5560,1.3405,0.0095,0.9382",yes,mY9YcP7FNw0O2Oo8ZLru,57yBaF626Cl5ophyeVyH,4927696240902144,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",241,16.932,true,no-effect,/static/audio/drums4.wav,headphones
2,26.533,"distant,none of the above",full,large-room,2016-03-12T01:55:28,UNpJhDGrvXHNXRjE99RZ,compression,"-43.2089,10.9925,17.2901,0.0444,0.9375",yes,xEtByuGAzpUAiHeQqHMH,3aBWDboJSSjhCtAZqKnN,4929221491163136,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",139,62.647,true,full,/static/audio/vocals2.wav,standalone
3,109.837,"lullaby,soften,muffled,softer,bright,clear,none of the above","echo,thin-walls,big-room,room-mics,loud,reaching,stage",very,2016-04-08T20:12:36,97N7CUIH90wTud3H2OS2,compression,"-99.1684,13.6658,4.3296,0.0061,0.9096",yes,rZ7HRA0sIurY6Xlbpb1y,lcxGabdh02T3XK0MrEXc,4935143043104768,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",74,27.553,true,"echo,thin-walls,big-room,room-mics,loud,reaching,stage",/static/audio/drums4.wav,headphones
